year,stage,input,output,capacity
2035,proc,spod,loh,100
2035,proc,spod,lce,100
2035,proc,clay,loh,793.8904029
2035,proc,clay,lce,482.7727591
2036,proc,brine,loh,100
2036,proc,brine,lce,100
2036,proc,spod,loh,100
2036,proc,spod,lce,100
2036,proc,clay,loh,848.0982881
2036,proc,clay,lce,512.6756108
2037,proc,brine,loh,100
2037,proc,brine,lce,100
2037,proc,spod,loh,100
2037,proc,spod,lce,100
2037,proc,clay,loh,905.0171233
2037,proc,clay,lce,544.0739115
2038,proc,brine,loh,100
2038,proc,brine,lce,100
2038,proc,spod,loh,100
2038,proc,spod,lce,100
2038,proc,clay,loh,964.5797949
2038,proc,clay,lce,576.9306394
2039,proc,brine,loh,100
2039,proc,brine,lce,100
2039,proc,spod,loh,100
2039,proc,spod,lce,100
2039,proc,clay,loh,1026.692604
2039,proc,clay,lce,611.1941068
2040,proc,brine,loh,100
2040,proc,brine,lce,100
2040,proc,spod,loh,100
2040,proc,spod,lce,100
2040,proc,clay,loh,1072.760087
2040,proc,clay,lce,636.6064453
2041,proc,brine,loh,100
2041,proc,brine,lce,100
2041,proc,spod,loh,100
2041,proc,spod,lce,100
2041,proc,clay,loh,1138.340715
2041,proc,clay,lce,672.7828754
2042,proc,brine,loh,100
2042,proc,brine,lce,100
2042,proc,spod,loh,100
2042,proc,spod,lce,710.1029672
2042,proc,clay,loh,1205.994572
2042,proc,clay,lce,100
2043,proc,brine,loh,100
2043,proc,brine,lce,100
2043,proc,spod,loh,1275.53173
2043,proc,spod,lce,100
2043,proc,clay,loh,100
2043,proc,clay,lce,748.46195
2044,proc,brine,loh,100
2044,proc,brine,lce,100
2044,proc,spod,loh,100
2044,proc,spod,lce,100
2044,proc,clay,loh,1346.742726
2044,proc,clay,lce,787.7442766
2045,proc,brine,loh,100
2045,proc,brine,lce,100
2045,proc,spod,loh,100
2045,proc,spod,lce,100
2045,proc,clay,loh,1419.401799
2045,proc,clay,lce,827.8254099
2046,proc,brine,loh,100
2046,proc,brine,lce,100
2046,proc,spod,loh,100
2046,proc,spod,lce,100
2046,proc,clay,loh,1493.270618
2046,proc,clay,lce,868.5738793
2047,proc,brine,loh,100
2047,proc,brine,lce,100
2047,proc,spod,loh,100
2047,proc,spod,lce,100
2047,proc,clay,loh,1568.102381
2047,proc,clay,lce,909.8535397
2048,proc,brine,loh,100
2048,proc,brine,lce,100
2048,proc,spod,loh,100
2048,proc,spod,lce,100
2048,proc,clay,loh,1643.646125
2048,proc,clay,lce,951.5259527
2049,proc,brine,loh,100
2049,proc,brine,lce,100
2049,proc,spod,loh,100
2049,proc,spod,lce,100
2049,proc,clay,loh,1719.651113
2049,proc,clay,lce,993.4528026
2050,proc,brine,loh,100
2050,proc,brine,lce,100
2050,proc,spod,loh,100
2050,proc,spod,lce,100
2050,proc,clay,loh,1795.871116
2050,proc,clay,lce,1035.498262
2051,proc,brine,loh,100
2051,proc,brine,lce,100
2051,proc,spod,loh,100
2051,proc,spod,lce,100
2051,proc,clay,loh,1872.068462
2051,proc,clay,lce,1077.531224
2052,proc,brine,loh,100
2052,proc,brine,lce,100
2052,proc,spod,loh,100
2052,proc,spod,lce,100
2052,proc,clay,loh,1948.0177
2052,proc,clay,lce,1119.42732
2053,proc,brine,loh,100
2053,proc,brine,lce,100
2053,proc,spod,loh,100
2053,proc,spod,lce,100
2053,proc,clay,loh,2023.50878
2053,proc,clay,lce,1161.070682
2054,proc,brine,loh,100
2054,proc,brine,lce,100
2054,proc,spod,loh,100
2054,proc,spod,lce,100
2054,proc,clay,loh,2098.349673
2054,proc,clay,lce,1202.355379
2055,proc,brine,loh,100
2055,proc,brine,lce,100
2055,proc,spod,loh,100
2055,proc,spod,lce,100
2055,proc,clay,loh,2172.368369
2055,proc,clay,lce,1243.186525
2056,proc,brine,loh,100
2056,proc,brine,lce,100
2056,proc,spod,loh,2245.414251
2056,proc,spod,lce,100
2056,proc,clay,loh,100
2056,proc,clay,lce,1283.481035
2057,proc,brine,loh,100
2057,proc,brine,lce,100
2057,proc,spod,loh,100
2057,proc,spod,lce,100
2057,proc,clay,loh,2317.358851
2057,proc,clay,lce,1323.168042
2058,proc,brine,loh,100
2058,proc,brine,lce,100
2058,proc,spod,loh,100
2058,proc,spod,lce,100
2058,proc,clay,loh,2388.096028
2058,proc,clay,lce,1362.188994
2059,proc,brine,loh,100
2059,proc,brine,lce,100
2059,proc,spod,loh,100
2059,proc,spod,lce,1400.497466
2059,proc,clay,loh,2457.541621
2059,proc,clay,lce,100
2060,proc,brine,loh,100
2060,proc,brine,lce,100
2060,proc,spod,loh,100
2060,proc,spod,lce,100
2060,proc,clay,loh,2562.710042
2060,proc,clay,lce,1458.511825
2061,proc,brine,loh,100
2061,proc,brine,lce,100
2061,proc,spod,loh,100
2061,proc,spod,lce,100
2061,proc,clay,loh,2618.773589
2061,proc,clay,lce,1489.438321
2062,proc,brine,loh,100
2062,proc,brine,lce,100
2062,proc,spod,loh,100
2062,proc,spod,lce,100
2062,proc,clay,loh,2673.869398
2062,proc,clay,lce,1519.83098
2063,proc,brine,loh,100
2063,proc,brine,lce,100
2063,proc,spod,loh,100
2063,proc,spod,lce,100
2063,proc,clay,loh,2727.989594
2063,proc,clay,lce,1549.68546
2064,proc,brine,loh,100
2064,proc,brine,lce,100
