year,stage,output,capacity
2092,mine,clay,2267.794668
2093,mine,brine,2295.10707
2093,mine,spod,2295.10707
2093,mine,clay,2295.10707
2094,mine,brine,2322.711123
2094,mine,spod,2322.711123
2094,mine,clay,2322.711123
2095,mine,brine,2350.623096
2095,mine,spod,2350.623096
2095,mine,clay,2350.623096
2096,mine,brine,2378.858877
2096,mine,spod,2378.858877
2096,mine,clay,2378.858877
2097,mine,brine,2407.434015
2097,mine,spod,2407.434015
2097,mine,clay,2407.434015
2098,mine,brine,2436.363759
2098,mine,spod,2436.363759
2098,mine,clay,2436.363759
2099,mine,brine,2465.663102
2099,mine,spod,2465.663102
2099,mine,clay,2465.663102
2100,mine,brine,2495.34682
2100,mine,spod,2495.34682
2100,mine,clay,2495.34682
