year,stage,input,output,prod
2050,proc,spod,loh,1795.871116
2050,proc,spod,lce,0
2050,proc,clay,loh,0
2050,proc,clay,lce,1035.498262
2051,proc,brine,loh,0
2051,proc,brine,lce,0
2051,proc,spod,loh,1872.068462
2051,proc,spod,lce,0
2051,proc,clay,loh,0
2051,proc,clay,lce,1077.531224
2052,proc,brine,loh,0
2052,proc,brine,lce,0
2052,proc,spod,loh,1948.0177
2052,proc,spod,lce,0
2052,proc,clay,loh,0
2052,proc,clay,lce,1119.42732
2053,proc,brine,loh,0
2053,proc,brine,lce,0
2053,proc,spod,loh,2023.50878
2053,proc,spod,lce,0
2053,proc,clay,loh,0
2053,proc,clay,lce,1161.070682
2054,proc,brine,loh,0
2054,proc,brine,lce,0
2054,proc,spod,loh,2098.349673
2054,proc,spod,lce,0
2054,proc,clay,loh,0
2054,proc,clay,lce,1202.355379
2055,proc,brine,loh,0
2055,proc,brine,lce,0
2055,proc,spod,loh,2172.368369
2055,proc,spod,lce,0
2055,proc,clay,loh,0
2055,proc,clay,lce,1243.186525
2056,proc,brine,loh,0
2056,proc,brine,lce,0
2056,proc,spod,loh,2245.414251
2056,proc,spod,lce,0
2056,proc,clay,loh,0
2056,proc,clay,lce,1283.481035
2057,proc,brine,loh,0
2057,proc,brine,lce,0
2057,proc,spod,loh,2317.358851
2057,proc,spod,lce,0
2057,proc,clay,loh,0
2057,proc,clay,lce,1323.168042
2058,proc,brine,loh,0
2058,proc,brine,lce,0
2058,proc,spod,loh,2388.096028
2058,proc,spod,lce,0
2058,proc,clay,loh,0
2058,proc,clay,lce,1362.188994
2059,proc,brine,loh,0
2059,proc,brine,lce,0
2059,proc,spod,loh,2457.541621
2059,proc,spod,lce,0
2059,proc,clay,loh,0
2059,proc,clay,lce,1400.497466
2060,proc,brine,loh,0
2060,proc,brine,lce,0
2060,proc,spod,loh,2562.710042
2060,proc,spod,lce,0
2060,proc,clay,loh,0
2060,proc,clay,lce,1458.511825
2061,proc,brine,loh,0
2061,proc,brine,lce,0
2061,proc,spod,loh,2618.773589
2061,proc,spod,lce,0
2061,proc,clay,loh,0
2061,proc,clay,lce,1489.438321
2062,proc,brine,loh,0
2062,proc,brine,lce,0
2062,proc,spod,loh,2673.869398
2062,proc,spod,lce,0
2062,proc,clay,loh,0
2062,proc,clay,lce,1519.83098
2063,proc,brine,loh,0
2063,proc,brine,lce,0
2063,proc,spod,loh,2727.989594
2063,proc,spod,lce,0
2063,proc,clay,loh,0
2063,proc,clay,lce,1549.68546
2064,proc,brine,loh,0
2064,proc,brine,lce,0
2064,proc,spod,loh,2781.137851
2064,proc,spod,lce,0
2064,proc,clay,loh,0
2064,proc,clay,lce,1579.003786
2065,proc,brine,loh,0
2065,proc,brine,lce,0
2065,proc,spod,loh,2833.328026
2065,proc,spod,lce,0
2065,proc,clay,loh,0
2065,proc,clay,lce,1607.793602
2066,proc,brine,loh,0
2066,proc,brine,lce,0
2066,proc,spod,loh,2884.582787
2066,proc,spod,lce,0
2066,proc,clay,loh,0
2066,proc,clay,lce,1636.067413
2067,proc,brine,loh,0
2067,proc,brine,lce,0
2067,proc,spod,loh,2934.932277
2067,proc,spod,lce,0
2067,proc,clay,loh,0
2067,proc,clay,lce,1663.841847
2068,proc,brine,loh,0
2068,proc,brine,lce,0
2068,proc,spod,loh,2984.41283
2068,proc,spod,lce,0
2068,proc,clay,loh,0
2068,proc,clay,lce,1691.136947
2069,proc,brine,loh,0
2069,proc,brine,lce,0
2069,proc,spod,loh,3033.065776
2069,proc,spod,lce,0
2069,proc,clay,loh,0
2069,proc,clay,lce,1717.975512
2070,proc,brine,loh,0
2070,proc,brine,lce,0
2070,proc,spod,loh,3080.936338
2070,proc,spod,lce,0
2070,proc,clay,loh,0
2070,proc,clay,lce,1744.382487
2071,proc,brine,loh,0
2071,proc,brine,lce,0
2071,proc,spod,loh,3128.072637
2071,proc,spod,lce,0
2071,proc,clay,loh,0
2071,proc,clay,lce,1770.38442
2072,proc,brine,loh,0
2072,proc,brine,lce,0
2072,proc,spod,loh,3174.524805
2072,proc,spod,lce,0
2072,proc,clay,loh,0
2072,proc,clay,lce,1796.008963
2073,proc,brine,loh,0
2073,proc,brine,lce,0
2073,proc,spod,loh,3220.344209
2073,proc,spod,lce,0
2073,proc,clay,loh,0
2073,proc,clay,lce,1821.284452
2074,proc,brine,loh,0
2074,proc,brine,lce,0
2074,proc,spod,loh,3265.582777
2074,proc,spod,lce,0
2074,proc,clay,loh,0
2074,proc,clay,lce,1846.239534
2075,proc,brine,loh,0
2075,proc,brine,lce,0
2075,proc,spod,loh,3310.292432
2075,proc,spod,lce,0
2075,proc,clay,loh,0
2075,proc,clay,lce,1870.90285
2076,proc,brine,loh,0
2076,proc,brine,lce,0
2076,proc,spod,loh,3354.524611
2076,proc,spod,lce,0
2076,proc,clay,loh,0
2076,proc,clay,lce,1895.302774
2077,proc,brine,loh,0
2077,proc,brine,lce,0
2077,proc,spod,loh,3398.329877
2077,proc,spod,lce,0
2077,proc,clay,loh,0
2077,proc,clay,lce,1919.467198
2078,proc,brine,loh,0
2078,proc,brine,lce,0
2078,proc,spod,loh,3441.7576
2078,proc,spod,lce,0
2078,proc,clay,loh,0
2078,proc,clay,lce,1943.423358
2079,proc,brine,loh,0
2079,proc,brine,lce,0
2079,proc,spod,loh,3484.855716
2079,proc,spod,lce,0
2079,proc,clay,loh,0
2079,proc,clay,lce,1967.197696
2080,proc,brine,loh,0
2080,proc,brine,lce,0
2080,proc,spod,loh,3527.670538
2080,proc,spod,lce,0
2080,proc,clay,loh,0
2080,proc,clay,lce,1990.815759
2081,proc,brine,loh,0
2081,proc,brine,lce,0
2081,proc,spod,loh,3570.246621
2081,proc,spod,lce,0
2081,proc,clay,loh,0
2081,proc,clay,lce,2014.302127
2082,proc,brine,loh,0
2082,proc,brine,lce,0
2082,proc,spod,loh,3612.626675
2082,proc,spod,lce,0
2082,proc,clay,loh,0
2082,proc,clay,lce,2037.680358
2083,proc,brine,loh,0
2083,proc,brine,lce,0
2083,proc,spod,loh,3654.851508
2083,proc,spod,lce,0
2083,proc,clay,loh,0
2083,proc,clay,lce,2060.972964
2084,proc,brine,loh,0
2084,proc,brine,lce,0
2084,proc,spod,loh,3696.96001
2084,proc,spod,lce,0
2084,proc,clay,loh,0
2084,proc,clay,lce,2084.201398
2085,proc,brine,loh,0
2085,proc,brine,lce,0
2085,proc,spod,loh,3738.989151
2085,proc,spod,lce,0
2085,proc,clay,loh,0
2085,proc,clay,lce,2107.386054
2086,proc,brine,loh,0
2086,proc,brine,lce,0
2086,proc,spod,loh,3780.974013
2086,proc,spod,lce,0
2086,proc,clay,loh,0
2086,proc,clay,lce,2130.546284
2087,proc,brine,loh,0
2087,proc,brine,lce,0
2087,proc,spod,loh,3822.947826
2087,proc,spod,lce,0
2087,proc,clay,loh,0
2087,proc,clay,lce,2153.700419
2088,proc,brine,loh,0
2088,proc,brine,lce,0
2088,proc,spod,loh,3864.942028
2088,proc,spod,lce,0
2088,proc,clay,loh,0
2088,proc,clay,lce,2176.865802
2089,proc,brine,loh,0
2089,proc,brine,lce,0
2089,proc,spod,loh,3906.986323
2089,proc,spod,lce,0
2089,proc,clay,loh,0
2089,proc,clay,lce,2200.058817
2090,proc,brine,loh,0
2090,proc,brine,lce,0
2090,proc,spod,loh,3949.108758
2090,proc,spod,lce,0
2090,proc,clay,loh,0
2090,proc,clay,lce,2223.294937
2091,proc,brine,loh,0
2091,proc,brine,lce,0
2091,proc,spod,loh,3991.335797
2091,proc,spod,lce,0
2091,proc,clay,loh,0
2091,proc,clay,lce,2246.58876
2092,proc,brine,loh,0
2092,proc,brine,lce,0
2092,proc,spod,loh,4033.692399
2092,proc,spod,lce,0
2092,proc,clay,loh,0
2092,proc,clay,lce,2269.954054
2093,proc,brine,loh,0
2093,proc,brine,lce,0
2093,proc,spod,loh,4076.202101
2093,proc,spod,lce,0
2093,proc,clay,loh,0
2093,proc,clay,lce,2293.403803
2094,proc,brine,loh,0
2094,proc,brine,lce,0
2094,proc,spod,loh,4118.887097
2094,proc,spod,lce,0
2094,proc,clay,loh,0
2094,proc,clay,lce,2316.950251
2095,proc,brine,loh,0
2095,proc,brine,lce,0
2095,proc,spod,loh,4161.768319
2095,proc,spod,lce,0
2095,proc,clay,loh,0
2095,proc,clay,lce,2340.604943
2096,proc,brine,loh,0
2096,proc,brine,lce,0
2096,proc,spod,loh,4204.865515
2096,proc,spod,lce,0
2096,proc,clay,loh,0
2096,proc,clay,lce,2364.378773
2097,proc,brine,loh,0
2097,proc,brine,lce,0
2097,proc,spod,loh,4248.197326
2097,proc,spod,lce,0
2097,proc,clay,loh,0
2097,proc,clay,lce,2388.282024
2098,proc,brine,loh,0
2098,proc,brine,lce,0
2098,proc,spod,loh,4291.781357
2098,proc,spod,lce,0
2098,proc,clay,loh,0
2098,proc,clay,lce,2412.324409
2099,proc,brine,loh,0
2099,proc,brine,lce,0
2099,proc,spod,loh,4335.634253
2099,proc,spod,lce,0
2099,proc,clay,loh,0
2099,proc,clay,lce,2436.515108
2100,proc,brine,loh,0
2100,proc,brine,lce,0
2100,proc,spod,loh,4379.771763
2100,proc,spod,lce,0
2100,proc,clay,loh,0
2100,proc,clay,lce,2460.86281
